,rank,rate,id,pokemon,form,type1,type2,category,terastal,item,ability,move_0,move_1,move_2,move_3
31,6,2202.935,0823-00,アーマーガア,,ひこう,はがね,一般,あく,おんみつマント,プレッシャー,つけあがる,ビルドアップ,ちょうはつ,はねやすめ
32,6,2202.935,0908-00,マスカーニャ,,くさ,あく,一般,ゴースト,きあいのタスキ,へんげんじざい,はたきおとす,トリプルアクセル,どくびし,やどりぎのタネ
33,6,2202.935,1018-00,ブリジュラス,,はがね,ドラゴン,一般,フェアリー,ふうせん,じきゅうりょく,ドラゴンテール,アイアンヘッド,ボディプレス,ステルスロック
34,6,2202.935,0956-00,クエスパトラ,,エスパー,,一般,ノーマル,オボンのみ,かそく,ルミナコリジョン,まもる,めいそう,バトンタッチ
35,6,2202.935,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,おうごんのからだ,ゴールドラッシュ,シャドーボール,じこさいせい,トリック
36,8,2195.815,0149-00,カイリュー,,ドラゴン,ひこう,一般,じめん,いかさまダイス,,,,,
37,8,2195.815,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,,,,,
38,8,2195.815,0730-00,アシレーヌ,,みず,フェアリー,一般,ひこう,とつげきチョッキ,,,,,
39,8,2195.815,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,,,,,
40,8,2195.815,0128-02,ケンタロス,パルデアのすがた・ブレイズしゅ,かくとう,ほのお,一般,くさ,オボンのみ,,,,,
41,8,2195.815,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,たべのこし,,,,,
42,9,2195.409,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,とつげきチョッキ,,,,,
43,9,2195.409,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,どく,メンタルハーブ,,,,,
44,9,2195.409,0903-00,オオニューラ,,かくとう,どく,一般,ゴースト,オボンのみ,,,,,
45,9,2195.409,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,,,,,
46,9,2195.409,0911-00,ラウドボーン,,ほのお,ゴースト,一般,フェアリー,たべのこし,,,,,
47,9,2195.409,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,かくとう,いのちのたま,,,,,
48,10,2194.317,0450-00,カバルドン,,じめん,,一般,みず,さらさらいわ,すなおこし,じしん,あくび,ステルスロック,ふきとばし
49,10,2194.317,0530-00,ドリュウズ,,じめん,はがね,一般,ステラ,いのちのたま,すなかき,じしん,アイアンヘッド,テラバースト,つるぎのまい
50,10,2194.317,0637-00,ウルガモス,,むし,ほのお,一般,くさ,ラムのみ,ほのおのからだ,ほのおのまい,ギガドレイン,ちょうのまい,おにび
51,10,2194.317,0876-00,イエッサン,オスのすがた,エスパー,ノーマル,一般,エスパー,こだわりメガネ,サイコメイカー,ワイドフォース,サイコショック,サイコノイズ,マジカルシャイン
52,10,2194.317,0903-00,オオニューラ,,かくとう,どく,一般,こおり,たつじんのおび,どくしゅ,フェイタルクロー,インファイト,テラバースト,ねこだまし
53,10,2194.317,0701-00,ルチャブル,,かくとう,ひこう,一般,ひこう,こだわりハチマキ,かたやぶり,ブレイブバード,インファイト,ダブルウイング,とんぼがえり
54,13,2183.264,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,ほのお,とけないこおり,,,,,
55,13,2183.264,1018-00,ブリジュラス,,はがね,ドラゴン,一般,でんき,パワフルハーブ,,,,,
56,13,2183.264,0445-00,ガブリアス,,ドラゴン,じめん,一般,はがね,とつげきチョッキ,,,,,
57,13,2183.264,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,ゴースト,きあいのタスキ,,,,,
58,13,2183.264,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,,,,,
59,13,2183.264,0959-00,デカヌチャン,,フェアリー,はがね,一般,はがね,ふうせん,,,,,
60,17,2162.912,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ステラ,レンブのみ,がんじょう,りゅうせいぐん,てっていこうせん,ステルスロック,ミラーコート
61,17,2162.912,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ,マルチスケイル,しんそく,じしん,かわらわり,アイススピナー
62,17,2162.912,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,しんがん,ブラッドムーン,だいちのちから,しんくうは,ハイパーボイス
63,17,2162.912,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,ゴースト,きあいのタスキ,くだけるよろい,むねんのつるぎ,ポルターガイスト,かげうち,インファイト
64,17,2162.912,0576-00,ゴチルゼル,,エスパー,,一般,ひこう,たべのこし,かげふみ,ねむる,あまえる,ちょうはつ,いちゃもん
65,17,2162.912,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,いのちのたま,ねつこうかん,きょけんとつげき,じしん,こおりのつぶて,つららおとし
66,19,2158.475,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,こだわりメガネ,,,,,
67,19,2158.475,0977-00,ヘイラッシャ,,みず,,一般,あく,たべのこし,,,,,
68,19,2158.475,0445-00,ガブリアス,,ドラゴン,じめん,一般,はがね,とつげきチョッキ,,,,,
69,19,2158.475,0823-00,アーマーガア,,ひこう,はがね,一般,ひこう,ゴツゴツメット,,,,,
70,19,2158.475,0970-00,キラフロル,,いわ,どく,一般,くさ,パワフルハーブ,,,,,
71,19,2158.475,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ,,,,,
72,21,2155.961,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ひこう,たべのこし,,,,,
73,21,2155.961,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,ラムのみ,,,,,
74,21,2155.961,1000-00,サーフゴー,,はがね,ゴースト,一般,ノーマル,こだわりスカーフ,,,,,
75,21,2155.961,0730-00,アシレーヌ,,みず,フェアリー,一般,くさ,オボンのみ,,,,,
76,21,2155.961,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,ふうせん,,,,,
77,21,2155.961,0983-00,ドドゲザン,,あく,はがね,一般,フェアリー,とつげきチョッキ,,,,,
78,22,2155.05,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,しんがん,ブラッドムーン,ハイパーボイス,まもる,しんくうは
79,22,2155.05,0149-00,カイリュー,,ドラゴン,ひこう,一般,じめん,ラムのみ,マルチスケイル,じしん,アイススピナー,アンコール,りゅうのまい
80,22,2155.05,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ステラ,いのちのたま,ばけのかわ,じゃれつく,シャドークロー,かげうち,つるぎのまい
81,22,2155.05,0908-00,マスカーニャ,,くさ,あく,一般,はがね,きあいのタスキ,へんげんじざい,はたきおとす,ふいうち,トリプルアクセル,テラバースト
82,22,2155.05,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,パワフルハーブ,じきゅうりょく,りゅうせいぐん,ラスターカノン,エレクトロビーム,あくのはどう
83,22,2155.05,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,とつげきチョッキ,やるき,ふんどのこぶし,ドレインパンチ,がんせきふうじ,いのちがけ
84,23,2150.909,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,おんみつマント,,,,,
85,23,2150.909,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,とつげきチョッキ,,,,,
86,23,2150.909,0730-00,アシレーヌ,,みず,フェアリー,一般,みず,こだわりスカーフ,,,,,
87,23,2150.909,0998-00,セグレイブ,,ドラゴン,こおり,一般,こおり,いのちのたま,,,,,
88,23,2150.909,0977-00,ヘイラッシャ,,みず,,一般,ゴースト,たべのこし,,,,,
89,23,2150.909,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,,,,,
90,24,2149.502,0934-00,キョジオーン,,いわ,,一般,フェアリー,たべのこし,,,,,
91,24,2149.502,0823-00,アーマーガア,,ひこう,はがね,一般,ノーマル,オボンのみ,,,,,
92,24,2149.502,0233-00,ポリゴン２,,ノーマル,,一般,ゴースト,しんかのきせき,,,,,
93,24,2149.502,0149-00,カイリュー,,ドラゴン,ひこう,一般,じめん,とつげきチョッキ,,,,,
94,24,2149.502,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ステラ,いのちのたま,,,,,
95,24,2149.502,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,おんみつマント,,,,,
96,30,2141.253,0609-00,シャンデラ,,ゴースト,ほのお,一般,フェアリー,こだわりスカーフ,すりぬけ,かえんほうしゃ,シャドーボール,テラバースト,エナジーボール
97,30,2141.253,0475-00,エルレイド,,エスパー,かくとう,一般,ゴースト,きあいのタスキ,きれあじ,せいなるつるぎ,サイコカッター,はたきおとす,かげうち
98,30,2141.253,0901-00,ガチグマ,,じめん,ノーマル,一般,くさ,かえんだま,こんじょう,くさわけ,じしん,つるぎのまい,からげんき
99,30,2141.253,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,ふゆう,ちょうはつ,はたきおとす,まもる,みがわり
100,30,2141.253,0594-00,ママンボウ,,みず,,一般,どく,とつげきチョッキ,さいせいりょく,ねっとう,クイックターン,アクアジェット,ミラーコート
101,30,2141.253,0036-00,ピクシー,,フェアリー,,一般,でんき,たべのこし,てんねん,ムーンフォース,コスモパワー,まもる,ねがいごと
102,31,2139.92,0594-00,ママンボウ,,みず,,一般,フェアリー,とつげきチョッキ,さいせいりょく,クイックターン,じゃれつく,アクアジェット,ミラーコート
103,31,2139.92,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,ふゆう,まもる,みがわり,バトンタッチ,どくどく
104,31,2139.92,0876-00,イエッサン,オスのすがた,エスパー,ノーマル,一般,エスパー,こだわりスカーフ,サイコメイカー,ワイドフォース,マジカルシャイン,サイコショック,アンコール
105,31,2139.92,0903-00,オオニューラ,,かくとう,どく,一般,ゴースト,サイコシード,かるわざ,フェイタルクロー,インファイト,つるぎのまい,シャドークロー
106,31,2139.92,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,せんせいのツメ,おうごんのからだ,シャドーボール,サイコショック,わるだくみ,じこさいせい
107,31,2139.92,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ,ほのおのからだ,ほのおのまい,おにび,あさのひざし,ちょうのまい
108,32,2137.894,0149-00,カイリュー,,ドラゴン,ひこう,一般,じめん,とつげきチョッキ,,,,,
109,32,2137.894,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,,,,,
110,32,2137.894,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ゴースト,パワフルハーブ,,,,,
111,32,2137.894,0128-02,ケンタロス,パルデアのすがた・ブレイズしゅ,かくとう,ほのお,一般,フェアリー,こだわりハチマキ,,,,,
112,32,2137.894,0977-00,ヘイラッシャ,,みず,,一般,はがね,オボンのみ,,,,,
113,32,2137.894,0637-00,ウルガモス,,むし,ほのお,一般,みず,ラムのみ,,,,,
114,33,2136.362,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,とつげきチョッキ,,,,,
115,33,2136.362,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,,,,,
116,33,2136.362,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりスカーフ,,,,,
117,33,2136.362,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,,,,,
118,33,2136.362,0934-00,キョジオーン,,いわ,,一般,フェアリー,たべのこし,,,,,
119,33,2136.362,0748-00,ドヒドイデ,,どく,みず,一般,フェアリー,くろいヘドロ,,,,,
120,34,2135.697,0815-00,エースバーン,,ほのお,,一般,ほのお,こうかくレンズ,リベロ,かえんボール,とびひざげり,ダストシュート,おにび
121,34,2135.697,0812-00,ゴリランダー,,くさ,,一般,じめん,きあいのタスキ,グラスメイカー,ドラムアタック,10まんばりき,グラススライダー,やどりぎのタネ
122,34,2135.697,0903-00,オオニューラ,,かくとう,どく,一般,あく,オボンのみ,かるわざ,フェイタルクロー,けたぐり,じごくづき,どくびし
123,34,2135.697,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,どく,アッキのみ,しんがん,ハイパーボイス,しんくうは,めいそう,つきのひかり
124,34,2135.697,1000-00,サーフゴー,,はがね,ゴースト,一般,みず,グラスシード,おうごんのからだ,シャドーボール,ゴールドラッシュ,わるだくみ,じこさいせい
125,34,2135.697,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,あつぞこブーツ,マルチスケイル,テラバースト,けたぐり,りゅうのまい,はねやすめ
126,36,2134.692,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,ひかりのねんど,,,,,
127,36,2134.692,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,むし,アッキのみ,,,,,
128,36,2134.692,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,シルクのスカーフ,,,,,
129,36,2134.692,0637-00,ウルガモス,,むし,ほのお,一般,むし,たべのこし,,,,,
130,36,2134.692,0248-00,バンギラス,,いわ,あく,一般,どく,じゃくてんほけん,,,,,
131,36,2134.692,0979-00,コノヨザル,,かくとう,ゴースト,一般,ほのお,とつげきチョッキ,,,,,
132,37,2134.636,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,たべのこし,マルチスケイル,ほのおのうず,じしん,アンコール,はねやすめ
133,37,2134.636,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,おうごんのからだ,ゴールドラッシュ,シャドーボール,トリック,じこさいせい
134,37,2134.636,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ,ねつこうかん,きょけんとつげき,つららおとし,じしん,こおりのつぶて
135,37,2134.636,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ひこう,マゴのみ,すりぬけ,ドラゴンアロー,たたりめ,おにび,みがわり
136,37,2134.636,0233-00,ポリゴン２,,ノーマル,,一般,ゴースト,しんかのきせき,ダウンロード,れいとうビーム,シャドーボール,イカサマ,じこさいせい
137,37,2134.636,0903-00,オオニューラ,,かくとう,どく,一般,ゴースト,きあいのタスキ,どくしゅ,フェイタルクロー,インファイト,シャドークロー,ねこだまし
138,41,2130.318,0445-00,ガブリアス,,ドラゴン,じめん,一般,みず,いかさまダイス,さめはだ,スケイルショット,じしん,アフロブレイク,つるぎのまい
139,41,2130.318,0212-00,ハッサム,,むし,はがね,一般,ひこう,いのちのたま,テクニシャン,バレットパンチ,インファイト,ダブルウイング,つるぎのまい
140,41,2130.318,0901-00,ガチグマ,,じめん,ノーマル,一般,ノーマル,かえんだま,こんじょう,からげんき,じしん,くさわけ,つるぎのまい
141,41,2130.318,1018-00,ブリジュラス,,はがね,ドラゴン,一般,むし,パワフルハーブ,じきゅうりょく,りゅうせいぐん,ラスターカノン,ボディプレス,エレクトロビーム
142,41,2130.318,0903-00,オオニューラ,,かくとう,どく,一般,ゴースト,きあいのタスキ,かるわざ,フェイタルクロー,インファイト,シャドークロー,つるぎのまい
143,41,2130.318,0730-00,アシレーヌ,,みず,フェアリー,一般,ほのお,とつげきチョッキ,げきりゅう,うたかたのアリア,ムーンフォース,テラバースト,アクアジェット
144,42,2129.045,0197-00,ブラッキー,,あく,,一般,フェアリー,たべのこし,,,,,
145,42,2129.045,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ゴースト,こだわりハチマキ,,,,,
146,42,2129.045,0964-00,イルカマン,ナイーブフォルム,みず,,一般,みず,しんぴのしずく,,,,,
147,42,2129.045,0959-00,デカヌチャン,,フェアリー,はがね,一般,ひこう,ふうせん,,,,,
148,42,2129.045,0908-00,マスカーニャ,,くさ,あく,一般,くさ,チイラのみ,,,,,
149,42,2129.045,1000-00,サーフゴー,,はがね,ゴースト,一般,みず,とつげきチョッキ,,,,,
150,43,2128.543,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,しんがん,ブラッドムーン,ハイパーボイス,だいちのちから,しんくうは
151,43,2128.543,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ,マルチスケイル,しんそく,じしん,りゅうのまい,はねやすめ
152,43,2128.543,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,おうごんのからだ,ゴールドラッシュ,シャドーボール,10まんボルト,トリック
153,43,2128.543,0212-00,ハッサム,,むし,はがね,一般,ひこう,こだわりハチマキ,テクニシャン,バレットパンチ,はたきおとす,ダブルウイング,とんぼがえり
154,43,2128.543,0903-00,オオニューラ,,かくとう,どく,一般,こおり,きあいのタスキ,どくしゅ,フェイタルクロー,インファイト,テラバースト,ねこだまし
155,43,2128.543,0373-00,ボーマンダ,,ドラゴン,ひこう,一般,ひこう,するどいくちばし,いかく,ダブルウイング,エアスラッシュ,かえんほうしゃ,みがわり
156,45,2126.458,0450-00,カバルドン,,じめん,,一般,はがね,オボンのみ,すなおこし,じしん,あくび,なまける,ふきとばし
157,45,2126.458,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,へんげんじざい,トリックフラワー,はたきおとす,とんぼがえり,ふいうち
158,45,2126.458,0730-00,アシレーヌ,,みず,フェアリー,一般,はがね,たべのこし,げきりゅう,ムーンフォース,クイックターン,ほろびのうた,まもる
159,45,2126.458,0637-00,ウルガモス,,むし,ほのお,一般,こおり,こだわりスカーフ,ほのおのからだ,オーバーヒート,ほのおのまい,テラバースト,とんぼがえり
160,45,2126.458,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,おうごんのからだ,ゴールドラッシュ,シャドーボール,きあいだま,トリック
161,45,2126.458,0149-00,カイリュー,,ドラゴン,ひこう,一般,ほのお,おんみつマント,マルチスケイル,ドラゴンクロー,テラバースト,りゅうのまい,はねやすめ
162,46,2125.443,0612-00,オノノクス,,ドラゴン,,一般,フェアリー,ふうせん,かたやぶり,じしん,テラバースト,であいがしら,ハサミギロチン
163,46,2125.443,0983-00,ドドゲザン,,あく,はがね,一般,あく,きあいのタスキ,そうだいしょう,メタルバースト,ドゲザン,ハサミギロチン,ふいうち
164,46,2125.443,0998-00,セグレイブ,,ドラゴン,こおり,一般,ゴースト,いかさまダイス,ねつこうかん,じしん,みがわり,つららばり,りゅうのまい
165,46,2125.443,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,かくとう,いのちのたま,ばけのかわ,じゃれつく,ドレインパンチ,かげうち,のろい
166,46,2125.443,0149-00,カイリュー,,ドラゴン,ひこう,一般,じめん,とつげきチョッキ,マルチスケイル,エアスラッシュ,れいとうビーム,テラバースト,しんそく
167,46,2125.443,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,パワフルハーブ,がんじょう,りゅうせいぐん,ラスターカノン,エレクトロビーム,あくのはどう
168,48,2124.115,0212-00,ハッサム,,むし,はがね,一般,ほのお,たべのこし,テクニシャン,かわらわり,バレットパンチ,はたきおとす,つるぎのまい
169,48,2124.115,0445-00,ガブリアス,,ドラゴン,じめん,一般,でんき,ラムのみ,さめはだ,スケイルショット,じしん,テラバースト,つるぎのまい
170,48,2124.115,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,ゴースト,ひかりのねんど,ゆきふらし,オーロラベール,ふぶき,いたみわけ,アンコール
171,48,2124.115,1000-00,サーフゴー,,はがね,ゴースト,一般,フェアリー,せんせいのツメ,おうごんのからだ,じこさいせい,シャドーボール,ゴールドラッシュ,わるだくみ
172,48,2124.115,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,シュカのみ,じきゅうりょく,ボディプレス,アイアンヘッド,ドラゴンテール,ステルスロック
173,48,2124.115,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,こだわりメガネ,ふゆう,あくのはどう,きあいだま,りゅうせいぐん,ラスターカノン
174,49,2123.358,0450-00,カバルドン,,じめん,,一般,はがね,オボンのみ,,,,,
175,49,2123.358,0903-00,オオニューラ,,かくとう,どく,一般,フェアリー,きあいのタスキ,,,,,
176,49,2123.358,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,いかさまダイス,,,,,
177,49,2123.358,0823-00,アーマーガア,,ひこう,はがね,一般,ノーマル,ゴツゴツメット,,,,,
178,49,2123.358,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ,,,,,
179,49,2123.358,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,せんせいのツメ,,,,,
180,50,2123.198,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,マルチスケイル,げきりん,じしん,けたぐり,しんそく
181,50,2123.198,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,どく,とつげきチョッキ,しんがん,ブラッドムーン,だいちのちから,ハイパーボイス,しんくうは
182,50,2123.198,0908-00,マスカーニャ,,くさ,あく,一般,ゴースト,きあいのタスキ,しんりょく,トリックフラワー,はたきおとす,トリプルアクセル,ふいうち
183,50,2123.198,0730-00,アシレーヌ,,みず,フェアリー,一般,はがね,たべのこし,うるおいボイス,ムーンフォース,サイコノイズ,めいそう,みがわり
184,50,2123.198,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ステラ,パワフルハーブ,がんじょう,りゅうせいぐん,ラスターカノン,エレクトロビーム,あくのはどう
185,50,2123.198,0128-02,ケンタロス,パルデアのすがた・ブレイズしゅ,かくとう,ほのお,一般,こおり,だっしゅつパック,いかく,インファイト,レイジングブル,テラバースト,おにび
186,51,2122.179,0448-00,ルカリオ,,かくとう,はがね,一般,ステラ,きあいのタスキ,せいしんりょく,かわらわり,バレットパンチ,れいとうパンチ,ストーンエッジ
187,51,2122.179,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,とつげきチョッキ,マルチスケイル,しんそく,じしん,アイススピナー,りゅうせいぐん
188,51,2122.179,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,はがね,たべのこし,しんがん,ブラッドムーン,だいちのちから,あくび,つきのひかり
189,51,2122.179,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,どく,オボンのみ,きれあじ,ひけん・ちえなみ,シェルブレード,はたきおとす,アンコール
190,51,2122.179,0637-00,ウルガモス,,むし,ほのお,一般,ほのお,こだわりメガネ,ほのおのからだ,オーバーヒート,むしのさざめき,ほのおのまい,ギガドレイン
191,51,2122.179,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ステラ,いのちのたま,ばけのかわ,かげうち,じゃれつく,ドレインパンチ,つるぎのまい
192,52,2120.525,0823-00,アーマーガア,,ひこう,はがね,一般,かくとう,メンタルハーブ,ミラーアーマー,とんぼがえり,てっぺき,ボディプレス,はねやすめ
193,52,2120.525,1018-00,ブリジュラス,,はがね,ドラゴン,一般,でんき,パワフルハーブ,がんじょう,ラスターカノン,りゅうせいぐん,エレクトロビーム,10まんボルト
