日本語	英語	フランス語	ドイツ語	イタリア語	スペイン語	韓国語	中国語(簡)	中国語(繁)
コラッタ	Rattata	Rattata	Rattfratz	Rattata	Rattata	꼬렛	小拉达	小拉達
ラッタ	Raticate	Rattatac	Rattikarl	Raticate	Raticate	레트라	拉达	拉達
オニスズメ	Spearow	Piafabec	Habitak	Spearow	Spearow	깨비참	烈雀	烈雀
オニドリル	Fearow	Rapasdepic	Ibitak	Fearow	Fearow	깨비드릴조	大嘴雀	大嘴雀
アーボ	Ekans	Abo	Rettan	Ekans	Ekans	아보	阿柏蛇	阿柏蛇
アーボック	Arbok	Arbok	Arbok	Arbok	Arbok	아보크	阿柏怪	阿柏怪
ピカチュウ	Pikachu	Pikachu	Pikachu	Pikachu	Pikachu	피카츄	皮卡丘	皮卡丘
ライチュウ	Raichu	Raichu	Raichu	Raichu	Raichu	라이츄	雷丘	雷丘
サンド	Sandshrew	Sabelette	Sandan	Sandshrew	Sandshrew	모래두지	穿山鼠	穿山鼠
サンドパン	Sandslash	Sablaireau	Sandamer	Sandslash	Sandslash	고지	穿山王	穿山王
ニドラン♀	Nidoran♀	Nidoran♀	Nidoran♀	Nidoran♀	Nidoran♀	니드런♀	尼多兰	尼多蘭
ニドリーナ	Nidorina	Nidorina	Nidorina	Nidorina	Nidorina	니드리나	尼多娜	尼多娜
ニドクイン	Nidoqueen	Nidoqueen	Nidoqueen	Nidoqueen	Nidoqueen	니드퀸	尼多后	尼多后
ニドラン♂	Nidoran♂	Nidoran♂	Nidoran♂	Nidoran♂	Nidoran♂	니드런♂	尼多朗	尼多朗
ニドリーノ	Nidorino	Nidorino	Nidorino	Nidorino	Nidorino	니드리노	尼多力诺	尼多力諾
ニドキング	Nidoking	Nidoking	Nidoking	Nidoking	Nidoking	니드킹	尼多王	尼多王
ピッピ	Clefairy	Melofee	Piepi	Clefairy	Clefairy	삐삐	皮皮	皮皮
ピクシー	Clefable	Melodelfe	Pixi	Clefable	Clefable	픽시	皮可西	皮可西
ロコン	Vulpix	Goupix	Vulpix	Vulpix	Vulpix	식스테일	六尾	六尾
キュウコン	Ninetales	Feunard	Vulnona	Ninetales	Ninetales	나인테일	九尾	九尾
プリン	Jigglypuff	Rondoudou	Pummeluff	Jigglypuff	Jigglypuff	푸린	胖丁	胖丁
プクリン	Wigglytuff	Grodoudou	Knuddeluff	Wigglytuff	Wigglytuff	푸크린	胖可丁	胖可丁
ズバット	Zubat	Nosferapti	Zubat	Zubat	Zubat	주뱃	超音蝠	超音蝠
ゴルバット	Golbat	Nosferalto	Golbat	Golbat	Golbat	골뱃	大嘴蝠	大嘴蝠
ナゾノクサ	Oddish	Mystherbe	Myrapla	Oddish	Oddish	뚜벅쵸	走路草	走路草
クサイハナ	Gloom	Ortide	Duflor	Gloom	Gloom	냄새꼬	臭臭花	臭臭花
ラフレシア	Vileplume	Rafflesia	Giflor	Vileplume	Vileplume	라플레시아	霸王花	霸王花
パラス	Paras	Paras	Paras	Paras	Paras	파라스	派拉斯	派拉斯
パラセクト	Parasect	Parasect	Parasek	Parasect	Parasect	파라섹트	派拉斯特	派拉斯特
コンパン	Venonat	Mimitoss	Bluzuk	Venonat	Venonat	콘팡	毛球	毛球
モルフォン	Venomoth	Aeromite	Omot	Venomoth	Venomoth	도나리	摩鲁蛾	摩魯蛾
ディグダ	Diglett	Taupiqueur	Digda	Diglett	Diglett	디그다	地鼠	地鼠
ダグトリオ	Dugtrio	Triopikeur	Digdri	Dugtrio	Dugtrio	닥트리오	三地鼠	三地鼠
ニャース	Meowth	Miaouss	Mauzi	Meowth	Meowth	나옹	喵喵	喵喵
ペルシアン	Persian	Persian	Snobilikat	Persian	Persian	페르시온	猫老大	貓老大
コダック	Psyduck	Psykokwak	Enton	Psyduck	Psyduck	고라파덕	可达鸭	可達鴨
ゴルダック	Golduck	Akwakwak	Entoron	Golduck	Golduck	골덕	哥达鸭	哥達鴨
マンキー	Mankey	Ferosinge	Menki	Mankey	Mankey	망키	猴怪	猴怪
オコリザル	Primeape	Colossinge	Rasaff	Primeape	Primeape	성원숭	火暴猴	火爆猴
ガーディ	Growlithe	Caninos	Fukano	Growlithe	Growlithe	가디	卡蒂狗	卡蒂狗
ウインディ	Arcanine	Arcanin	Arkani	Arcanine	Arcanine	윈디	风速狗	風速狗
ニョロモ	Poliwag	Ptitard	Quapsel	Poliwag	Poliwag	발챙이	蚊香蝌蚪	蚊香蝌蚪
ニョロゾ	Poliwhirl	Tetarte	Quaputzi	Poliwhirl	Poliwhirl	수륙챙이	蚊香君	蚊香君
ニョロボン	Poliwrath	Tartard	Quappo	Poliwrath	Poliwrath	강챙이	蚊香泳士	蚊香泳士
ケーシィ	Abra	Abra	Abra	Abra	Abra	캐이시	凯西	凱西
ユンゲラー	Kadabra	Kadabra	Kadabra	Kadabra	Kadabra	윤겔라	勇基拉	勇基拉
フーディン	Alakazam	Alakazam	Simsala	Alakazam	Alakazam	후딘	胡地	胡地
ワンリキー	Machop	Machoc	Machollo	Machop	Machop	알통몬	腕力	腕力
ゴーリキー	Machoke	Machopeur	Maschock	Machoke	Machoke	근육몬	豪力	豪力
カイリキー	Machamp	Mackogneur	Machomei	Machamp	Machamp	괴력몬	怪力	怪力
マダツボミ	Bellsprout	Chetiflor	Knofensa	Bellsprout	Bellsprout	모다피	喇叭芽	喇叭芽
ウツドン	Weepinbell	Boustiflor	Ultrigaria	Weepinbell	Weepinbell	우츠동	口呆花	口呆花
ウツボット	Victreebel	Empiflor	Sarzenia	Victreebel	Victreebel	우츠보트	大食花	大食花
メノクラゲ	Tentacool	Tentacool	Tentacha	Tentacool	Tentacool	왕눈해	玛瑙水母	瑪瑙水母
ドククラゲ	Tentacruel	Tentacruel	Tentoxa	Tentacruel	Tentacruel	독파리	毒刺水母	毒刺水母
イシツブテ	Geodude	Racaillou	Kleinstein	Geodude	Geodude	꼬마돌	小拳石	小拳石
ゴローン	Graveler	Gravalanch	Georok	Graveler	Graveler	데구리	隆隆石	隆隆石
ゴローニャ	Golem	Grolem	Geowaz	Golem	Golem	딱구리	隆隆岩	隆隆岩
ポニータ	Ponyta	Ponyta	Ponita	Ponyta	Ponyta	포니타	小火马	小火馬
ギャロップ	Rapidash	Galopa	Gallopa	Rapidash	Rapidash	날쌩마	烈焰马	烈焰馬
ヤドン	Slowpoke	Ramoloss	Flegmon	Slowpoke	Slowpoke	야돈	呆呆兽	呆呆獸
ヤドラン	Slowbro	Flagadoss	Lahmus	Slowbro	Slowbro	야도란	呆壳兽	呆殼獸
コイル	Magnemite	Magneti	Magnetilo	Magnemite	Magnemite	코일	小磁怪	小磁怪
レアコイル	Magneton	Magneton	Magneton	Magneton	Magneton	레어코일	三合一磁怪	三合一磁怪
カモネギ	Farfetch'd	Canarticho	Porenta	Farfetch'd	Farfetch'd	파오리	大葱鸭	大蔥鴨
ドードー	Doduo	Doduo	Dodu	Doduo	Doduo	두두	嘟嘟	嘟嘟
ドードリオ	Dodrio	Dodrio	Dodri	Dodrio	Dodrio	두트리오	嘟嘟利	嘟嘟利
パウワウ	Seel	Otaria	Jurob	Seel	Seel	쥬쥬	小海狮	小海獅
ジュゴン	Dewgong	Lamantine	Jugong	Dewgong	Dewgong	쥬레곤	白海狮	白海獅
ベトベター	Grimer	Tadmorv	Sleima	Grimer	Grimer	질퍽이	臭泥	臭泥
ベトベトン	Muk	Grotadmorv	Sleimok	Muk	Muk	질뻐기	臭臭泥	臭臭泥
シェルダー	Shellder	Kokiyas	Muschas	Shellder	Shellder	셀러	大舌贝	大舌貝
パルシェン	Cloyster	Crustabri	Austos	Cloyster	Cloyster	파르셀	刺甲贝	刺甲貝
ゴース	Gastly	Fantominus	Nebulak	Gastly	Gastly	고오스	鬼斯	鬼斯
ゴースト	Haunter	Spectrum	Alpollo	Haunter	Haunter	고우스트	鬼斯通	鬼斯通
ゲンガー	Gengar	Ectoplasma	Gengar	Gengar	Gengar	팬텀	耿鬼	耿鬼
イワーク	Onix	Onix	Onix	Onix	Onix	롱스톤	大岩蛇	大岩蛇
スリープ	Drowzee	Soporifik	Traumato	Drowzee	Drowzee	슬리프	催眠貘	催眠貘
スリーパー	Hypno	Hypnomade	Hypno	Hypno	Hypno	슬리퍼	引梦貘人	引夢貘人
クラブ	Krabby	Krabby	Krabby	Krabby	Krabby	크랩	大钳蟹	大鉗蟹
キングラー	Kingler	Krabboss	Kingler	Kingler	Kingler	킹크랩	巨钳蟹	巨鉗蟹
ビリリダマ	Voltorb	Voltorbe	Voltobal	Voltorb	Voltorb	찌리리공	霹雳电球	霹靂電球
マルマイン	Electrode	Electrode	Lektrobal	Electrode	Electrode	붐볼	顽皮雷弹	頑皮雷彈
タマタマ	Exeggcute	Noeunoeuf	Owei	Exeggcute	Exeggcute	아라리	蛋蛋	蛋蛋
ナッシー	Exeggutor	Noadkoko	Kokowei	Exeggutor	Exeggutor	나시	椰蛋树	椰蛋樹
カラカラ	Cubone	Osselait	Tragosso	Cubone	Cubone	탕구리	卡拉卡拉	卡拉卡拉
ガラガラ	Marowak	Ossatueur	Knogga	Marowak	Marowak	텅구리	嘎啦嘎啦	嘎啦嘎啦
サワムラー	Hitmonlee	Kicklee	Kicklee	Hitmonlee	Hitmonlee	시라소몬	飞腿郎	飛腿郎
エビワラー	Hitmonchan	Tygnon	Nockchan	Hitmonchan	Hitmonchan	홍수몬	快拳郎	快拳郎
ベロリンガ	Lickitung	Excelangue	Schlurp	Lickitung	Lickitung	내루미	大舌头	大舌頭
ドガース	Koffing	Smogo	Smogon	Koffing	Koffing	또가스	瓦斯弹	瓦斯彈
マタドガス	Weezing	Smogogo	Smogmog	Weezing	Weezing	또도가스	双弹瓦斯	雙彈瓦斯
サイホーン	Rhyhorn	Rhinocorne	Rihorn	Rhyhorn	Rhyhorn	뿔카노	独角犀牛	獨角犀牛
サイドン	Rhydon	Rhinoferos	Rizeros	Rhydon	Rhydon	코뿌리	钻角犀兽	鑽角犀獸
ラッキー	Chansey	Leveinard	Chaneira	Chansey	Chansey	럭키	吉利蛋	吉利蛋
モンジャラ	Tangela	Saquedeneu	Tangela	Tangela	Tangela	덩구리	蔓藤怪	蔓藤怪
ガルーラ	Kangaskhan	Kangourex	Kangama	Kangaskhan	Kangaskhan	캥카	袋兽	袋獸
タッツー	Horsea	Hypotrempe	Seeper	Horsea	Horsea	쏘드라	墨海马	墨海馬
シードラ	Seadra	Hypocean	Seemon	Seadra	Seadra	시드라	海刺龙	海刺龍
トサキント	Goldeen	Poissirene	Goldini	Goldeen	Goldeen	콘치	角金鱼	角金魚
アズマオウ	Seaking	Poissoroy	Golking	Seaking	Seaking	왕콘치	金鱼王	金魚王
ヒトデマン	Staryu	Stari	Sterndu	Staryu	Staryu	별가사리	海星星	海星星
スターミー	Starmie	Staross	Starmie	Starmie	Starmie	아쿠스타	宝石海星	寶石海星
バリヤード	Mr. Mime	M.Mime	Pantimos	Mr. Mime	Mr. Mime	마임맨	魔墙人偶	魔牆人偶
ストライク	Scyther	Insecateur	Sichlor	Scyther	Scyther	스라크	飞天螳螂	飛天螳螂
ルージュラ	Jynx	Lippoutou	Rossana	Jynx	Jynx	루주라	迷唇姐	迷唇姐
エレブー	Electabuzz	Elektek	Elektek	Electabuzz	Electabuzz	에레브	电击兽	電擊獸
ブーバー	Magmar	Magmar	Magmar	Magmar	Magmar	마그마	鸭嘴火兽	鴨嘴火獸
カイロス	Pinsir	Scarabrute	Pinsir	Pinsir	Pinsir	쁘사이저	凯罗斯	凱羅斯
ケンタロス	Tauros	Tauros	Tauros	Tauros	Tauros	켄타로스	肯泰罗	肯泰羅
コイキング	Magikarp	Magicarpe	Karpador	Magikarp	Magikarp	잉어킹	鲤鱼王	鯉魚王
ギャラドス	Gyarados	Leviator	Garados	Gyarados	Gyarados	갸라도스	暴鲤龙	暴鯉龍
ラプラス	Lapras	Lokhlass	Lapras	Lapras	Lapras	라프라스	拉普拉斯	拉普拉斯
メタモン	Ditto	Metamorph	Ditto	Ditto	Ditto	메타몽	百变怪	百變怪
イーブイ	Eevee	Evoli	Evoli	Eevee	Eevee	이브이	伊布	伊布
シャワーズ	Vaporeon	Aquali	Aquana	Vaporeon	Vaporeon	샤미드	水伊布	水伊布
サンダース	Jolteon	Voltali	Blitza	Jolteon	Jolteon	쥬피썬더	雷伊布	雷伊布
ブースター	Flareon	Pyroli	Flamara	Flareon	Flareon	부스터	火伊布	火伊布
ポリゴン	Porygon	Porygon	Porygon	Porygon	Porygon	폴리곤	多边兽	多邊獸
オムナイト	Omanyte	Amonita	Amonitas	Omanyte	Omanyte	암나이트	菊石兽	菊石獸
オムスター	Omastar	Amonistar	Amoroso	Omastar	Omastar	암스타	多刺菊石兽	多刺菊石獸
カブト	Kabuto	Kabuto	Kabuto	Kabuto	Kabuto	투구	化石盔	化石盔
カブトプス	Kabutops	Kabutops	Kabutops	Kabutops	Kabutops	투구푸스	镰刀盔	鐮刀盔
プテラ	Aerodactyl	Ptera	Aerodactyl	Aerodactyl	Aerodactyl	프테라	化石翼龙	化石翼龍
カビゴン	Snorlax	Ronflex	Relaxo	Snorlax	Snorlax	잠만보	卡比兽	卡比獸
フリーザー	Articuno	Artikodin	Arktos	Articuno	Articuno	프리져	急冻鸟	急凍鳥
サンダー	Zapdos	Electhor	Zapdos	Zapdos	Zapdos	썬더	闪电鸟	閃電鳥
ファイヤー	Moltres	Sulfura	Lavados	Moltres	Moltres	파이어	火焰鸟	火焰鳥
ミニリュウ	Dratini	Minidraco	Dratini	Dratini	Dratini	미뇽	迷你龙	迷你龍
ハクリュー	Dragonair	Draco	Dragonir	Dragonair	Dragonair	신뇽	哈克龙	哈克龍
カイリュー	Dragonite	Dracolosse	Dragoran	Dragonite	Dragonite	망나뇽	快龙	快龍
ミュウツー	Mewtwo	Mewtwo	Mewtu	Mewtwo	Mewtwo	뮤츠	超梦	超夢
ミュウ	Mew	Mew	Mew	Mew	Mew	뮤	梦幻	夢幻
チコリータ	Chikorita	Germignon	Endivie	Chikorita	Chikorita	치코리타	菊草叶	菊草葉
ベイリーフ	Bayleef	Macronium	Lorblatt	Bayleef	Bayleef	베이리프	月桂叶	月桂葉
メガニウム	Meganium	Meganium	Meganie	Meganium	Meganium	메가니움	大竺葵	大竺葵
ヒノアラシ	Cyndaquil	Hericendre	Feurigel	Cyndaquil	Cyndaquil	브케인	火球鼠	火球鼠
マグマラシ	Quilava	Feurisson	Igelavar	Quilava	Quilava	마그케인	火岩鼠	火岩鼠
バクフーン	Typhlosion	Typhlosion	Tornupto	Typhlosion	Typhlosion	블레이범	火暴兽	火爆獸
ワニノコ	Totodile	Kaiminus	Karnimani	Totodile	Totodile	리아코	小锯鳄	小鋸鱷
アリゲイツ	Croconaw	Crocrodil	Tyracroc	Croconaw	Croconaw	엘리게이	蓝鳄	藍鱷
オーダイル	Feraligatr	Aligatueur	Impergator	Feraligatr	Feraligatr	장크로다일	大力鳄	大力鱷
オタチ	Sentret	Fouinette	Wiesor	Sentret	Sentret	꼬리선	尾立	尾立
オオタチ	Furret	Fouinar	Wiesenior	Furret	Furret	다꼬리	大尾立	大尾立
ホーホー	Hoothoot	Hoothoot	Hoothoot	Hoothoot	Hoothoot	부우부	咕咕	咕咕
ヨルノズク	Noctowl	Noarfang	Noctuh	Noctowl	Noctowl	야부엉	猫头夜鹰	貓頭夜鷹
レディバ	Ledyba	Coxy	Ledyba	Ledyba	Ledyba	레디바	芭瓢虫	芭瓢蟲
レディアン	Ledian	Coxyclaque	Ledian	Ledian	Ledian	레디안	安瓢虫	安瓢蟲
イトマル	Spinarak	Mimigal	Webarak	Spinarak	Spinarak	페이검	圆丝蛛	圓絲蛛
アリアドス	Ariados	Migalos	Ariados	Ariados	Ariados	아리아도스	阿利多斯	阿利多斯
クロバット	Crobat	Nostenfer	Iksbat	Crobat	Crobat	크로뱃	叉字蝠	叉字蝠
チョンチー	Chinchou	Loupio	Lampi	Chinchou	Chinchou	초라기	灯笼鱼	燈籠魚
ランターン	Lanturn	Lanturn	Lanturn	Lanturn	Lanturn	랜턴	电灯怪	電燈怪
ピチュー	Pichu	Pichu	Pichu	Pichu	Pichu	피츄	皮丘	皮丘
ピィ	Cleffa	Melo	Pii	Cleffa	Cleffa	삐	皮宝宝	皮寶寶
ププリン	Igglybuff	Toudoudou	Fluffeluff	Igglybuff	Igglybuff	푸푸린	宝宝丁	寶寶丁
トゲピー	Togepi	Togepi	Togepi	Togepi	Togepi	토게피	波克比	波克比
トゲチック	Togetic	Togetic	Togetic	Togetic	Togetic	토게틱	波克基古	波克基古
ネイティ	Natu	Natu	Natu	Natu	Natu	네이티	天然雀	天然雀
ネイティオ	Xatu	Xatu	Xatu	Xatu	Xatu	네이티오	天然鸟	天然鳥
メリープ	Mareep	Wattouat	Voltilamm	Mareep	Mareep	메리프	咩利羊	咩利羊
モココ	Flaaffy	Lainergie	Waaty	Flaaffy	Flaaffy	보송송	茸茸羊	茸茸羊
デンリュウ	Ampharos	Pharamp	Ampharos	Ampharos	Ampharos	전룡	电龙	電龍
キレイハナ	Bellossom	Joliflor	Blubella	Bellossom	Bellossom	아르코	美丽花	美麗花
マリル	Marill	Marill	Marill	Marill	Marill	마릴	玛力露	瑪力露
マリルリ	Azumarill	Azumarill	Azumarill	Azumarill	Azumarill	마릴리	玛力露丽	瑪力露麗
ウソッキー	Sudowoodo	Simularbre	Mogelbaum	Sudowoodo	Sudowoodo	꼬지모	树才怪	樹才怪
ニョロトノ	Politoed	Tarpaud	Quaxo	Politoed	Politoed	왕구리	蚊香蛙皇	蚊香蛙皇
ハネッコ	Hoppip	Granivol	Hoppspross	Hoppip	Hoppip	통통코	毽子草	毽子草
ポポッコ	Skiploom	Floravol	Hubelupf	Skiploom	Skiploom	두코	毽子花	毽子花
ワタッコ	Jumpluff	Cotovol	Papungha	Jumpluff	Jumpluff	솜솜코	毽子棉	毽子棉
エイパム	Aipom	Capumain	Griffel	Aipom	Aipom	에이팜	长尾怪手	長尾怪手
ヒマナッツ	Sunkern	Tournegrin	Sonnkern	Sunkern	Sunkern	해너츠	向日种子	向日種子
キマワリ	Sunflora	Heliatronc	Sonnflora	Sunflora	Sunflora	해루미	向日花怪	向日花怪
ヤンヤンマ	Yanma	Yanma	Yanma	Yanma	Yanma	왕자리	蜻蜻蜓	蜻蜻蜓
ウパー	Wooper	Axoloto	Felino	Wooper	Wooper	우파	乌波	烏波
ヌオー	Quagsire	Maraiste	Morlord	Quagsire	Quagsire	누오	沼王	沼王
エーフィ	Espeon	Mentali	Psiana	Espeon	Espeon	에브이	太阳伊布	太陽伊布
ブラッキー	Umbreon	Noctali	Nachtara	Umbreon	Umbreon	블래키	月亮伊布	月亮伊布
ヤミカラス	Murkrow	Cornebre	Kramurx	Murkrow	Murkrow	니로우	黑暗鸦	黑暗鴉
ヤドキング	Slowking	Roigada	Laschoking	Slowking	Slowking	야도킹	呆呆王	呆呆王
ムウマ	Misdreavus	Feuforeve	Traunfugil	Misdreavus	Misdreavus	무우마	梦妖	夢妖
アンノーン	Unown	Zarbi	Icognito	Unown	Unown	안농	未知图腾	未知圖騰
ソーナンス	Wobbuffet	Qulbutoke	Woingenau	Wobbuffet	Wobbuffet	마자용	果然翁	果然翁
キリンリキ	Girafarig	Girafarig	Girafarig	Girafarig	Girafarig	키링키	麒麟奇	麒麟奇
クヌギダマ	Pineco	Pomdepic	Tannza	Pineco	Pineco	피콘	榛果球	榛果球
フォレトス	Forretress	Foretress	Forstellka	Forretress	Forretress	쏘콘	佛烈托斯	佛烈托斯
ノコッチ	Dunsparce	Insolourdo	Dummisel	Dunsparce	Dunsparce	노고치	土龙弟弟	土龍弟弟
グライガー	Gligar	Scorplane	Skorgla	Gligar	Gligar	글라이거	天蝎	天蠍
ハガネール	Steelix	Steelix	Stahlos	Steelix	Steelix	강철톤	大钢蛇	大鋼蛇
ブルー	Snubbull	Snubbull	Snubbull	Snubbull	Snubbull	블루	布鲁	布魯
グランブル	Granbull	Granbull	Granbull	Granbull	Granbull	그랑블루	布鲁皇	布魯皇
ハリーセン	Qwilfish	Qwilfish	Baldorfish	Qwilfish	Qwilfish	침바루	千针鱼	千針魚
ハッサム	Scizor	Cizayox	Scherox	Scizor	Scizor	핫삼	巨钳螳螂	巨鉗螳螂
ツボツボ	Shuckle	Caratroc	Pottrott	Shuckle	Shuckle	단단지	壶壶	壺壺
ヘラクロス	Heracross	Scarhino	Skaraborn	Heracross	Heracross	헤라크로스	赫拉克罗斯	赫拉克羅斯
ニューラ	Sneasel	Farfuret	Sniebel	Sneasel	Sneasel	포푸니	狃拉	狃拉
ヒメグマ	Teddiursa	Teddiursa	Teddiursa	Teddiursa	Teddiursa	깜지곰	熊宝宝	熊寶寶
リングマ	Ursaring	Ursaring	Ursaring	Ursaring	Ursaring	링곰	圈圈熊	圈圈熊
マグマッグ	Slugma	Limagma	Schneckmag	Slugma	Slugma	마그마그	熔岩虫	熔岩蟲
マグカルゴ	Magcargo	Volcaropod	Magcargo	Magcargo	Magcargo	마그카르고	熔岩蜗牛	熔岩蝸牛
ウリムー	Swinub	Marcacrin	Quiekel	Swinub	Swinub	꾸꾸리	小山猪	小山豬
イノムー	Piloswine	Cochignon	Keifel	Piloswine	Piloswine	메꾸리	长毛猪	長毛豬
サニーゴ	Corsola	Corayon	Corasonn	Corsola	Corsola	코산호	太阳珊瑚	太陽珊瑚
テッポウオ	Remoraid	Remoraid	Remoraid	Remoraid	Remoraid	총어	铁炮鱼	鐵炮魚
オクタン	Octillery	Octillery	Octillery	Octillery	Octillery	대포무노	章鱼桶	章魚桶
デリバード	Delibird	Cadoizo	Botogel	Delibird	Delibird	딜리버드	信使鸟	信使鳥
マンタイン	Mantine	Demanta	Mantax	Mantine	Mantine	만타인	巨翅飞鱼	巨翅飛魚
エアームド	Skarmory	Airmure	Panzaeron	Skarmory	Skarmory	무장조	盔甲鸟	盔甲鳥
デルビル	Houndour	Malosse	Hunduster	Houndour	Houndour	델빌	戴鲁比	戴魯比
ヘルガー	Houndoom	Demolosse	Hundemon	Houndoom	Houndoom	헬가	黑鲁加	黑魯加
キングドラ	Kingdra	Hyporoi	Seedraking	Kingdra	Kingdra	킹드라	刺龙王	刺龍王
ゴマゾウ	Phanpy	Phanpy	Phanpy	Phanpy	Phanpy	코코리	小小象	小小象
ドンファン	Donphan	Donphan	Donphan	Donphan	Donphan	코리갑	顿甲	頓甲
ポリゴン2	Porygon2	Porygon2	Porygon2	Porygon2	Porygon2	폴리곤2	多边兽2型	多邊獸II
オドシシ	Stantler	Cerfrousse	Damhirplex	Stantler	Stantler	노라키	惊角鹿	驚角鹿
ドーブル	Smeargle	Queulorior	Farbeagle	Smeargle	Smeargle	루브도	图图犬	圖圖犬
バルキー	Tyrogue	Debugant	Rabauz	Tyrogue	Tyrogue	배루키	无畏小子	無畏小子
カポエラー	Hitmontop	Kapoera	Kapoera	Hitmontop	Hitmontop	카포에라	战舞郎	戰舞郎
ムチュール	Smoochum	Lippouti	Kussilla	Smoochum	Smoochum	뽀뽀라	迷唇娃	迷唇娃
エレキッド	Elekid	Elekid	Elekid	Elekid	Elekid	에레키드	电击怪	電擊怪
ブビィ	Magby	Magby	Magby	Magby	Magby	마그비	鸭嘴宝宝	鴨嘴寶寶
ミルタンク	Miltank	Ecremeuh	Miltank	Miltank	Miltank	밀탱크	大奶罐	大奶罐
ハピナス	Blissey	Leuphorie	Heiteira	Blissey	Blissey	해피나스	幸福蛋	幸福蛋
ライコウ	Raikou	Raikou	Raikou	Raikou	Raikou	라이코	雷公	雷公
エンテイ	Entei	Entei	Entei	Entei	Entei	앤테이	炎帝	炎帝
スイクン	Suicune	Suicune	Suicune	Suicune	Suicune	스이쿤	水君	水君
ヨーギラス	Larvitar	Embrylex	Larvitar	Larvitar	Larvitar	애버라스	幼基拉斯	幼基拉斯
サナギラス	Pupitar	Ymphect	Pupitar	Pupitar	Pupitar	데기라스	沙基拉斯	沙基拉斯
バンギラス	Tyranitar	Tyranocif	Despotar	Tyranitar	Tyranitar	마기라스	班基拉斯	班基拉斯
ルギア	Lugia	Lugia	Lugia	Lugia	Lugia	루기아	洛奇亚	洛奇亞
ホウオウ	Ho-Oh	Ho-Oh	Ho-Oh	Ho-Oh	Ho-Oh	칠색조	凤王	鳳王
セレビィ	Celebi	Celebi	Celebi	Celebi	Celebi	세레비	时拉比	時拉比
キモリ	Treecko	Arcko	Geckarbor	Treecko	Treecko	나무지기	木守宫	木守宮
ジュプトル	Grovyle	Massko	Reptain	Grovyle	Grovyle	나무돌이	森林蜥蜴	森林蜥蜴
ジュカイン	Sceptile	Jungko	Gewaldro	Sceptile	Sceptile	나무킹	蜥蜴王	蜥蜴王
アチャモ	Torchic	Poussifeu	Flemmli	Torchic	Torchic	아차모	火稚鸡	火稚雞
ワカシャモ	Combusken	Galifeu	Jungglut	Combusken	Combusken	영치코	力壮鸡	力壯雞
バシャーモ	Blaziken	Brasegali	Lohgock	Blaziken	Blaziken	번치코	火焰鸡	火焰雞
ミズゴロウ	Mudkip	Gobou	Hydropi	Mudkip	Mudkip	물짱이	水跃鱼	水躍魚
ヌマクロー	Marshtomp	Flobio	Moorabbel	Marshtomp	Marshtomp	늪짱이	沼跃鱼	沼躍魚
ラグラージ	Swampert	Laggron	Sumpex	Swampert	Swampert	대짱이	巨沼怪	巨沼怪
ポチエナ	Poochyena	Medhyena	Fiffyen	Poochyena	Poochyena	포챠나	土狼犬	土狼犬
グラエナ	Mightyena	Grahyena	Magnayen	Mightyena	Mightyena	그라에나	大狼犬	大狼犬
ジグザグマ	Zigzagoon	Zigzaton	Zigzachs	Zigzagoon	Zigzagoon	지그제구리	蛇纹熊	蛇紋熊
