,id,form_id,name,form,alias,category,weight,height,type_1,type_2,ability_1,ability_2,ability_3,last_gen,H,A,B,C,D,S
0034-000,34,0,ニドキング,,ニドキング,ドリルポケモン,62.0,1.4,どく,じめん,どくのトゲ,とうそうしん,ちからずく,8,81,102,77,85,75,85
0035-000,35,0,ピッピ,,ピッピ,ようせいポケモン,7.5,0.6,フェアリー,,メロメロボディ,マジックガード,フレンドガード,9,70,45,48,60,65,35
0036-000,36,0,ピクシー,,ピクシー,ようせいポケモン,40.0,1.3,フェアリー,,メロメロボディ,マジックガード,てんねん,9,95,70,73,95,90,60
0037-000,37,0,ロコン,,ロコン,きつねポケモン,9.9,0.6,ほのお,,もらいび,ひでり,,9,38,41,40,50,65,65
0037-001,37,1,ロコン,アローラのすがた,ロコン(アローラ),きつねポケモン,9.9,0.6,こおり,,ゆきがくれ,ひでり,ゆきふらし,9,38,41,40,50,65,65
0038-000,38,0,キュウコン,,キュウコン,きつねポケモン,19.9,1.1,ほのお,,もらいび,ひでり,,9,73,76,75,81,100,100
0038-001,38,1,キュウコン,アローラのすがた,キュウコン(アローラ),きつねポケモン,19.9,1.1,こおり,フェアリー,ゆきがくれ,ひでり,ゆきふらし,9,73,67,75,81,100,109
0039-000,39,0,プリン,,プリン,ふうせんポケモン,5.5,0.5,ノーマル,フェアリー,メロメロボディ,かちき,フレンドガード,9,115,45,20,45,25,20
0040-000,40,0,プクリン,,プクリン,ふうせんポケモン,12.0,1.0,ノーマル,フェアリー,メロメロボディ,かちき,おみとおし,9,140,70,45,85,50,45
0041-000,41,0,ズバット,,ズバット,こうもりポケモン,7.5,0.8,どく,ひこう,せいしんりょく,すりぬけ,,8,40,45,35,30,40,55
0042-000,42,0,ゴルバット,,ゴルバット,こうもりポケモン,55.0,1.6,どく,ひこう,せいしんりょく,すりぬけ,,8,75,80,70,65,75,90
0043-000,43,0,ナゾノクサ,,ナゾノクサ,ざっそうポケモン,5.4,0.5,くさ,どく,ようりょくそ,にげあし,,9,45,50,55,75,65,30
0044-000,44,0,クサイハナ,,クサイハナ,ざっそうポケモン,8.6,0.8,くさ,どく,ようりょくそ,あくしゅう,,9,60,65,70,85,75,40
0045-000,45,0,ラフレシア,,ラフレシア,フラワーポケモン,18.6,1.2,くさ,どく,ようりょくそ,ほうし,,9,75,80,85,110,90,50
0046-000,46,0,パラス,,パラス,きのこポケモン,5.4,0.3,むし,くさ,ほうし,かんそうはだ,しめりけ,8,35,70,55,45,55,25
0047-000,47,0,パラセクト,,パラセクト,きのこポケモン,29.5,1.0,むし,くさ,ほうし,かんそうはだ,しめりけ,8,60,95,80,60,80,30
0048-000,48,0,コンパン,,コンパン,こんちゅうポケモン,30.0,1.0,むし,どく,ふくがん,いろめがね,にげあし,9,60,55,50,40,55,45
0049-000,49,0,モルフォン,,モルフォン,どくがポケモン,12.5,1.5,むし,どく,りんぷん,いろめがね,ミラクルスキン,9,70,65,60,90,75,90
0050-000,50,0,ディグダ,,ディグダ,もぐらポケモン,0.8,0.2,じめん,,すながくれ,ありじごく,すなのちから,9,10,55,25,35,45,95
0050-001,50,1,ディグダ,アローラのすがた,ディグダ(アローラ),もぐらポケモン,1.0,0.2,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,9,10,55,30,35,45,90
0051-000,51,0,ダグトリオ,,ダグトリオ,もぐらポケモン,33.3,0.7,じめん,,すながくれ,ありじごく,すなのちから,9,35,100,50,50,70,120
0051-001,51,1,ダグトリオ,アローラのすがた,ダグトリオ(アローラ),もぐらポケモン,66.6,0.7,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,9,35,100,60,50,70,110
0052-000,52,0,ニャース,,ニャース,ばけねこポケモン,4.2,0.4,ノーマル,,ものひろい,テクニシャン,きんちょうかん,9,40,45,35,40,40,90
0052-001,52,1,ニャース,アローラのすがた,ニャース(アローラ),ばけねこポケモン,4.2,0.4,あく,,ものひろい,テクニシャン,きんちょうかん,9,40,35,35,50,40,90
0052-002,52,2,ニャース,ガラルのすがた,ニャース(ガラル),ばけねこポケモン,7.5,0.4,はがね,,ものひろい,かたいツメ,きんちょうかん,9,50,65,55,40,40,40
0052-999,52,999,ニャース,キョダイマックス,ニャース(キョダイ),-,9999.9,33.0,ノーマル,,ものひろい,テクニシャン,きんちょうかん,8,40,45,35,40,40,90
0053-000,53,0,ペルシアン,,ペルシアン,シャムネコポケモン,32.0,1.0,ノーマル,,じゅうなん,テクニシャン,きんちょうかん,9,65,70,60,65,65,115
0053-001,53,1,ペルシアン,アローラのすがた,ペルシアン(アローラ),シャムネコポケモン,33.0,1.1,あく,,ファーコート,テクニシャン,きんちょうかん,9,65,60,60,75,65,115
0054-000,54,0,コダック,,コダック,あひるポケモン,19.6,0.8,みず,,しめりけ,ノーてんき,すいすい,9,50,52,48,65,50,55
0055-000,55,0,ゴルダック,,ゴルダック,あひるポケモン,76.6,1.7,みず,,しめりけ,ノーてんき,すいすい,9,80,82,78,95,80,85
0056-000,56,0,マンキー,,マンキー,ぶたざるポケモン,28.0,0.5,かくとう,,やるき,いかりのつぼ,まけんき,9,40,80,35,35,45,70
0057-000,57,0,オコリザル,,オコリザル,ぶたざるポケモン,32.0,1.0,かくとう,,やるき,いかりのつぼ,まけんき,9,65,105,60,60,70,95
0058-000,58,0,ガーディ,,ガーディ,こいぬポケモン,19.0,0.7,ほのお,,いかく,もらいび,せいぎのこころ,9,55,70,45,70,50,60
0058-001,58,1,ガーディ,ヒスイのすがた,ガーディ(ヒスイ),みはりポケモン,22.7,0.8,ほのお,いわ,いかく,もらいび,せいぎのこころ,9,60,75,45,65,50,55
0059-000,59,0,ウインディ,,ウインディ,でんせつポケモン,155.0,1.9,ほのお,,いかく,もらいび,せいぎのこころ,9,90,110,80,100,80,95
0059-001,59,1,ウインディ,ヒスイのすがた,ウインディ(ヒスイ),でんせつポケモン,168.0,2.0,ほのお,いわ,いかく,もらいび,せいぎのこころ,9,95,115,80,95,80,90
0060-000,60,0,ニョロモ,,ニョロモ,おたまポケモン,12.4,0.6,みず,,ちょすい,しめりけ,すいすい,9,40,50,40,40,40,90
0061-000,61,0,ニョロゾ,,ニョロゾ,おたまポケモン,20.0,1.0,みず,,ちょすい,しめりけ,すいすい,9,65,65,65,50,50,90
0062-000,62,0,ニョロボン,,ニョロボン,おたまポケモン,54.0,1.3,みず,かくとう,ちょすい,しめりけ,すいすい,9,90,95,95,70,90,70
0063-000,63,0,ケーシィ,,ケーシィ,ねんりきポケモン,19.5,0.9,エスパー,,シンクロ,せいしんりょく,マジックガード,8,25,20,15,105,55,90
0064-000,64,0,ユンゲラー,,ユンゲラー,ねんりきポケモン,56.5,1.3,エスパー,,シンクロ,せいしんりょく,マジックガード,8,40,35,30,120,70,105
0065-000,65,0,フーディン,,フーディン,ねんりきポケモン,48.0,1.5,エスパー,,シンクロ,せいしんりょく,マジックガード,8,55,50,45,135,95,120
0065-001,65,1,フーディン,メガフーディン,メガフーディン,ねんりきポケモン,48.0,1.2,エスパー,,トレース,マジックガード,,7,55,50,45,135,95,120
0066-000,66,0,ワンリキー,,ワンリキー,かいりきポケモン,19.5,0.8,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,70,80,50,35,35,35
0067-000,67,0,ゴーリキー,,ゴーリキー,かいりきポケモン,70.5,1.5,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,80,100,70,50,60,45
0068-000,68,0,カイリキー,,カイリキー,かいりきポケモン,130.0,1.6,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,90,130,80,65,85,55
0068-999,68,999,カイリキー,キョダイマックス,カイリキー(キョダイ),-,9999.9,25.0,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,90,130,80,65,85,55
0069-000,69,0,マダツボミ,,マダツボミ,フラワーポケモン,4.0,0.7,くさ,どく,ようりょくそ,くいしんぼう,,9,50,75,35,70,30,40
0070-000,70,0,ウツドン,,ウツドン,ハエとりポケモン,6.4,1.0,くさ,どく,ようりょくそ,くいしんぼう,,9,65,90,50,85,45,55
0071-000,71,0,ウツボット,,ウツボット,ハエとりポケモン,15.5,1.7,くさ,どく,ようりょくそ,くいしんぼう,,9,80,105,65,100,70,70
0072-000,72,0,メノクラゲ,,メノクラゲ,くらげポケモン,45.5,0.9,みず,どく,クリアボディ,ヘドロえき,あめうけざら,9,40,40,35,50,100,70
0073-000,73,0,ドククラゲ,,ドククラゲ,くらげポケモン,55.0,1.6,みず,どく,クリアボディ,ヘドロえき,あめうけざら,9,80,70,65,80,120,100
0074-000,74,0,イシツブテ,,イシツブテ,がんせきポケモン,20.0,0.4,いわ,じめん,いしあたま,がんじょう,すながくれ,9,40,80,100,30,30,20
0074-001,74,1,イシツブテ,アローラのすがた,イシツブテ(アローラ),がんせきポケモン,20.3,0.4,いわ,でんき,じりょく,がんじょう,すながくれ,9,40,80,100,30,30,20
0075-000,75,0,ゴローン,,ゴローン,がんせきポケモン,105.0,1.0,いわ,じめん,いしあたま,がんじょう,すながくれ,9,55,95,115,45,45,35
0075-001,75,1,ゴローン,アローラのすがた,ゴローン(アローラ),がんせきポケモン,110.0,1.0,いわ,でんき,じりょく,がんじょう,すながくれ,9,55,95,115,45,45,35
0076-000,76,0,ゴローニャ,,ゴローニャ,メガトンポケモン,300.0,1.4,いわ,じめん,いしあたま,がんじょう,すながくれ,9,80,120,130,55,65,45
0076-001,76,1,ゴローニャ,アローラのすがた,ゴローニャ(アローラ),メガトンポケモン,316.0,1.7,いわ,でんき,じりょく,がんじょう,すながくれ,9,80,120,130,55,65,45
0077-000,77,0,ポニータ,,ポニータ,ひのうまポケモン,30.0,1.0,ほのお,,にげあし,もらいび,ほのおのからだ,8,50,85,55,65,65,90
0077-001,77,1,ポニータ,ガラルのすがた,ポニータ(ガラル),いっかくポケモン,24.0,0.8,エスパー,,にげあし,パステルベール,ほのおのからだ,8,50,85,55,65,65,90
0078-000,78,0,ギャロップ,,ギャロップ,ひのうまポケモン,95.0,1.7,ほのお,,にげあし,もらいび,ほのおのからだ,8,65,100,70,80,80,105
0078-001,78,1,ギャロップ,ガラルのすがた,ギャロップ(ガラル),いっかくポケモン,80.0,1.7,エスパー,フェアリー,にげあし,パステルベール,ほのおのからだ,8,65,100,70,80,80,105
0079-000,79,0,ヤドン,,ヤドン,まぬけポケモン,36.0,1.2,みず,エスパー,どんかん,マイペース,さいせいりょく,9,90,65,65,40,40,15
0079-001,79,1,ヤドン,ガラルのすがた,ヤドン(ガラル),まぬけポケモン,36.0,1.2,エスパー,,くいしんぼう,マイペース,さいせいりょく,9,90,65,65,40,40,15
0080-000,80,0,ヤドラン,,ヤドラン,やどかりポケモン,78.5,1.6,みず,エスパー,どんかん,マイペース,さいせいりょく,9,95,75,110,100,80,30
0080-001,80,1,ヤドラン,メガヤドラン,メガヤドラン,やどかりポケモン,120.0,2.0,みず,エスパー,シェルアーマー,さいせいりょく,,7,95,75,110,100,80,30
0080-002,80,2,ヤドラン,ガラルのすがた,ヤドラン(ガラル),やどかりポケモン,70.5,1.6,どく,エスパー,クイックドロウ,マイペース,さいせいりょく,9,95,100,95,100,70,30
0081-000,81,0,コイル,,コイル,じしゃくポケモン,6.0,0.3,でんき,はがね,じりょく,がんじょう,アナライズ,9,25,35,70,95,55,45
0082-000,82,0,レアコイル,,レアコイル,じしゃくポケモン,60.0,1.0,でんき,はがね,じりょく,がんじょう,アナライズ,9,50,60,95,120,70,70
0083-000,83,0,カモネギ,,カモネギ,かるがもポケモン,15.0,0.8,ノーマル,ひこう,するどいめ,せいしんりょく,まけんき,8,52,90,55,58,62,60
0083-001,83,1,カモネギ,ガラルのすがた,カモネギ(ガラル),かるがもポケモン,42.0,0.8,かくとう,,ふくつのこころ,まけんき,きもったま,8,52,95,55,58,62,55
0084-000,84,0,ドードー,,ドードー,ふたごどりポケモン,39.2,1.4,ノーマル,ひこう,にげあし,はやおき,ちどりあし,9,35,85,45,35,35,75
0085-000,85,0,ドードリオ,,ドードリオ,みつごどりポケモン,85.2,1.8,ノーマル,ひこう,にげあし,はやおき,ちどりあし,9,60,110,70,60,60,110
0086-000,86,0,パウワウ,,パウワウ,あしかポケモン,90.0,1.1,みず,,あついしぼう,うるおいボディ,アイスボディ,9,65,45,55,45,70,45
0087-000,87,0,ジュゴン,,ジュゴン,あしかポケモン,120.0,1.7,みず,こおり,あついしぼう,うるおいボディ,アイスボディ,9,90,70,80,70,95,70
0088-000,88,0,ベトベター,,ベトベター,ヘドロポケモン,30.0,0.9,どく,,あくしゅう,ねんちゃく,どくしゅ,9,80,80,50,40,50,25
0088-001,88,1,ベトベター,アローラのすがた,ベトベター(アローラ),ヘドロポケモン,42.0,0.7,どく,あく,どくしゅ,くいしんぼう,ねんちゃく,9,80,80,50,40,50,25
0089-000,89,0,ベトベトン,,ベトベトン,ヘドロポケモン,30.0,1.2,どく,,あくしゅう,ねんちゃく,どくしゅ,9,105,105,75,65,100,50
0089-001,89,1,ベトベトン,アローラのすがた,ベトベトン(アローラ),ヘドロポケモン,52.0,1.0,どく,あく,どくしゅ,くいしんぼう,ねんちゃく,9,105,105,75,65,100,50
0090-000,90,0,シェルダー,,シェルダー,２まいがいポケモン,4.0,0.3,みず,,シェルアーマー,スキルリンク,ぼうじん,9,30,65,100,45,25,40
0091-000,91,0,パルシェン,,パルシェン,２まいがいポケモン,132.5,1.5,みず,こおり,シェルアーマー,スキルリンク,ぼうじん,9,50,95,180,85,45,70
0092-000,92,0,ゴース,,ゴース,ガスじょうポケモン,0.1,1.3,ゴースト,どく,ふゆう,,,9,30,35,30,100,35,80
0093-000,93,0,ゴースト,,ゴースト,ガスじょうポケモン,0.1,1.6,ゴースト,どく,ふゆう,,,9,45,50,45,115,55,95
0094-000,94,0,ゲンガー,,ゲンガー,シャドーポケモン,40.5,1.5,ゴースト,どく,のろわれボディ,,,9,60,65,60,130,75,110
0094-001,94,1,ゲンガー,メガゲンガー,メガゲンガー,シャドーポケモン,40.5,1.4,ゴースト,どく,かげふみ,のろわれボディ,,7,60,65,60,130,75,110
0094-999,94,999,ゲンガー,キョダイマックス,ゲンガー(キョダイ),-,9999.9,20.0,ゴースト,どく,のろわれボディ,,,8,60,65,60,130,75,110
0095-000,95,0,イワーク,,イワーク,いわへびポケモン,210.0,8.8,いわ,じめん,いしあたま,がんじょう,くだけるよろい,8,35,45,160,30,45,70
0096-000,96,0,スリープ,,スリープ,さいみんポケモン,32.4,1.0,エスパー,,ふみん,よちむ,せいしんりょく,9,60,48,45,43,90,42
0097-000,97,0,スリーパー,,スリーパー,さいみんポケモン,75.6,1.6,エスパー,,ふみん,よちむ,せいしんりょく,9,85,73,70,73,115,67
0098-000,98,0,クラブ,,クラブ,さわがにポケモン,6.5,0.4,みず,,かいりきバサミ,シェルアーマー,ちからずく,8,30,105,90,25,25,50
0099-000,99,0,キングラー,,キングラー,はさみポケモン,60.0,1.3,みず,,かいりきバサミ,シェルアーマー,ちからずく,8,55,130,115,50,50,75
0099-999,99,999,キングラー,キョダイマックス,キングラー(キョダイ),-,9999.9,19.0,みず,,かいりきバサミ,シェルアーマー,ちからずく,8,55,130,115,50,50,75
0100-000,100,0,ビリリダマ,,ビリリダマ,ボールポケモン,10.4,0.5,でんき,,ぼうおん,せいでんき,ゆうばく,9,40,30,50,55,55,100
0100-001,100,1,ビリリダマ,ヒスイのすがた,ビリリダマ(ヒスイ),きゅうたいポケモン,13.0,0.5,でんき,くさ,ぼうおん,せいでんき,ゆうばく,9,40,30,50,55,55,100
0101-000,101,0,マルマイン,,マルマイン,ボールポケモン,66.6,1.2,でんき,,ぼうおん,せいでんき,ゆうばく,9,60,50,70,80,80,150
0101-001,101,1,マルマイン,ヒスイのすがた,マルマイン(ヒスイ),きゅうたいポケモン,71.0,1.2,でんき,くさ,ぼうおん,せいでんき,ゆうばく,9,60,50,70,80,80,150
0102-000,102,0,タマタマ,,タマタマ,たまごポケモン,2.5,0.4,くさ,エスパー,ようりょくそ,しゅうかく,,9,60,40,80,60,45,40
0103-000,103,0,ナッシー,,ナッシー,やしのみポケモン,120.0,2.0,くさ,エスパー,ようりょくそ,しゅうかく,,9,95,95,85,125,75,55
0103-001,103,1,ナッシー,アローラのすがた,ナッシー(アローラ),やしのみポケモン,415.6,10.9,くさ,ドラゴン,おみとおし,しゅうかく,,9,95,105,85,125,75,45
0104-000,104,0,カラカラ,,カラカラ,こどくポケモン,6.5,0.4,じめん,,いしあたま,ひらいしん,カブトアーマー,8,50,50,95,40,50,35
0105-000,105,0,ガラガラ,,ガラガラ,ほねずきポケモン,45.0,1.0,じめん,,いしあたま,ひらいしん,カブトアーマー,8,60,80,110,50,80,45
0105-001,105,1,ガラガラ,アローラのすがた,ガラガラ(アローラ),ほねずきポケモン,34.0,1.0,ほのお,ゴースト,のろわれボディ,ひらいしん,カブトアーマー,8,60,80,110,50,80,45
0106-000,106,0,サワムラー,,サワムラー,キックポケモン,49.8,1.5,かくとう,,じゅうなん,すてみ,かるわざ,9,50,120,53,35,110,87
0107-000,107,0,エビワラー,,エビワラー,パンチポケモン,50.2,1.4,かくとう,,するどいめ,てつのこぶし,せいしんりょく,9,50,105,79,35,110,76
0108-000,108,0,ベロリンガ,,ベロリンガ,なめまわしポケモン,65.5,1.2,ノーマル,,マイペース,どんかん,ノーてんき,8,90,55,75,60,75,30
0109-000,109,0,ドガース,,ドガース,どくガスポケモン,1.0,0.6,どく,,ふゆう,かがくへんかガス,あくしゅう,9,40,65,95,60,45,35
0110-000,110,0,マタドガス,,マタドガス,どくガスポケモン,9.5,1.2,どく,,ふゆう,かがくへんかガス,あくしゅう,9,65,90,120,85,70,60
0110-001,110,1,マタドガス,ガラルのすがた,マタドガス(ガラル),どくガスポケモン,16.0,3.0,どく,フェアリー,ふゆう,かがくへんかガス,あくしゅう,9,65,90,120,85,70,60
0111-000,111,0,サイホーン,,サイホーン,とげとげポケモン,115.0,1.0,じめん,いわ,ひらいしん,いしあたま,すてみ,9,80,85,95,30,30,25
0112-000,112,0,サイドン,,サイドン,ドリルポケモン,120.0,1.9,じめん,いわ,ひらいしん,いしあたま,すてみ,9,105,130,120,45,45,40
0113-000,113,0,ラッキー,,ラッキー,たまごポケモン,34.6,1.1,ノーマル,,しぜんかいふく,てんのめぐみ,いやしのこころ,9,250,5,5,35,105,50
0114-000,114,0,モンジャラ,,モンジャラ,ツルじょうポケモン,35.0,1.0,くさ,,ようりょくそ,リーフガード,さいせいりょく,8,65,55,115,100,40,60
0115-000,115,0,ガルーラ,,ガルーラ,おやこポケモン,80.0,2.2,ノーマル,,はやおき,きもったま,せいしんりょく,8,105,95,80,40,80,90
0115-001,115,1,ガルーラ,メガガルーラ,メガガルーラ,おやこポケモン,100.0,2.2,ノーマル,,おやこあい,せいしんりょく,,7,105,95,80,40,80,90
0116-000,116,0,タッツー,,タッツー,ドラゴンポケモン,8.0,0.4,みず,,すいすい,スナイパー,しめりけ,9,30,40,70,70,25,60
0117-000,117,0,シードラ,,シードラ,ドラゴンポケモン,25.0,1.2,みず,,どくのトゲ,スナイパー,しめりけ,9,55,65,95,95,45,85
0118-000,118,0,トサキント,,トサキント,きんぎょポケモン,15.0,0.6,みず,,すいすい,みずのベール,ひらいしん,8,45,67,60,35,50,63
0119-000,119,0,アズマオウ,,アズマオウ,きんぎょポケモン,39.0,1.3,みず,,すいすい,みずのベール,ひらいしん,8,80,92,65,65,80,68
0120-000,120,0,ヒトデマン,,ヒトデマン,ほしがたポケモン,34.5,0.8,みず,,はっこう,しぜんかいふく,アナライズ,8,30,45,55,70,55,85
0121-000,121,0,スターミー,,スターミー,なぞのポケモン,80.0,1.1,みず,エスパー,はっこう,しぜんかいふく,アナライズ,8,60,75,85,100,85,115
0122-000,122,0,バリヤード,,バリヤード,バリアーポケモン,54.5,1.3,エスパー,フェアリー,ぼうおん,フィルター,テクニシャン,8,40,45,65,100,120,90
0122-001,122,1,バリヤード,ガラルのすがた,バリヤード(ガラル),ダンスポケモン,56.8,1.4,こおり,エスパー,やるき,バリアフリー,テクニシャン,8,50,65,65,90,90,100
